phs_net_dischar,phs_dischar,phs_char,phs_net_char,bat_net_dischar,bat_dischar,bat_char,bat_net_char,coal,gas,bio,nuclear,upv,dpv,onshore,offshore,hydro,trans_in,trans_out,trans_net_in,trans_net_out,dem,Solar PV,Wind,Demand,Coal,Gas,Biomass,Nuclear,Hydropower,Storage Discharge,Storage Charge,area_sum,dem_charge
0.8987732140194923,1.0066259997018314,1.1852495563518728,1.0548721051531669,12.167931537456736,12.532969483580443,15.53168829659329,15.065737647695489,3.0354320787941282,9.166085152697187,2.5612245503739435,31.136144988903276,30.258331361904023,12.612231731230747,52.30188242325782,14.795826008560983,11.480505557281782,71.9734975157402,74.14114412451383,36.283948403568125,38.45159501234177,159.69644999999997,42.87056309313477,67.0977084318188,159.69644999999997,3.0354320787941282,9.166085152697187,2.5612245503739435,31.136144988903276,11.480505557281782,13.066704751476228,16.71693785294516,180.41436860448013,176.4133878529451
0.9259684248161826,1.0370846357941244,1.2881418682043797,1.146446262701898,13.665615216902882,14.075583673409968,14.722109195777069,14.280445919903757,1.4945061760032063,7.35420476395564,2.3959369126050496,30.776776962117573,30.213421266833294,12.796740263940308,50.07701416374871,15.057447677903845,13.247561200718533,73.08283038675084,75.29774610027515,35.19815870372664,37.41307441725097,156.67954999999998,43.0101615307736,65.13446184165255,156.67954999999998,1.4945061760032063,7.35420476395564,2.3959369126050496,30.776776962117573,13.247561200718533,14.591583641719062,16.010251063981446,178.0051930295452,172.68980106398143
0.8682290342213401,0.9724165183279011,1.1502222889658187,1.0236978371795786,12.674786181644848,13.055029767094194,14.839743571807322,14.394551264653101,1.4968872551738048,8.888580938089294,2.6402611135357,30.664490411058587,29.716778512972365,12.598182402868138,55.13967423746032,13.639374300576556,12.047919653901946,64.60692848091462,66.50074651905089,35.893253937130304,37.78707197526659,159.58520999999996,42.3149609158405,68.77904853803688,159.58520999999996,1.4968872551738048,8.888580938089294,2.6402611135357,30.664490411058587,12.047919653901946,13.543015215866188,15.98996586077314,180.3751640415029,175.5751758607731
1.0440549717390615,1.169341568347749,1.107248959630328,0.9854515740709919,14.736678806239123,15.1787791704263,14.615395805983532,14.176933931804028,1.8806370512386732,9.893455031589506,2.9636412666881418,30.63256150887106,30.01443555307236,11.928907941389829,55.209849315791516,12.01766612384255,14.616657919766883,71.42472691434494,73.51788345109472,36.25696023179408,38.35011676854386,165.885,41.94334349446219,67.22751543963406,165.885,1.8806370512386732,9.893455031589506,2.9636412666881418,30.63256150887106,14.616657919766883,15.780733777978185,15.72264476561386,184.9385454902287,181.60764476561386
2.7331704438691373,3.061150897133434,0.5982678322974055,0.5324583707446909,14.44007287645777,14.873275062751505,14.174864524438808,13.749618588705644,1.6673008867189054,8.855452783870836,2.877832773408517,31.172877746143193,31.078155015974634,11.987212033827632,52.02652058274332,12.473538180837355,16.49414256860117,68.81369573069165,70.85125662074094,35.5565330773848,37.5940939674341,165.96120000000002,43.06536704980226,64.50005876358068,165.96120000000002,1.6673008867189054,8.855452783870836,2.877832773408517,31.172877746143193,16.49414256860117,17.173243320326907,14.773132356736213,185.80627589245245,180.73433235673625
0.973967727390435,1.0908438546772874,0.7262960834782004,0.6464035142955985,13.9379228125298,14.356060496905695,15.38434104868266,14.922810817222183,1.4952769884968689,7.7025617322057816,2.634387170066583,30.487746883929525,31.064814615793015,12.76667427277198,63.88217963309481,13.659588131669912,12.93340745254319,75.00323367939805,77.2039108928824,38.79669055367696,40.99736776716131,167.18615999999997,43.83148888856499,77.54176776476473,167.18615999999997,1.4952769884968689,7.7025617322057816,2.634387170066583,30.487746883929525,12.93340745254319,14.911890539920236,16.11063713216086,191.53852742049187,183.29679713216083
0.6784987264267083,0.7599185735979134,1.1241766059737937,1.000517179316676,13.829851094481292,14.244746627315731,14.930612017576951,14.482693657049646,1.4926296960442704,7.784851274045253,2.6118971828883057,30.47310544820835,31.106982402570164,12.631248067101259,67.1739260126073,13.133348188117735,11.26522824286083,74.08615768680109,76.24506527251417,39.61806795715716,41.776975542870254,168.34284,43.73823046967142,80.30727420072502,168.34284,1.4926296960442704,7.784851274045253,2.6118971828883057,30.47310544820835,11.26522824286083,14.508349820907998,16.054788623550746,192.18156633535145,184.39762862355076
0.666370186955545,0.7463346093902106,1.3375504912778393,1.1904199372372768,13.255147680340354,13.652802110750567,15.17320529555271,14.718009136686133,1.4900240282688741,6.7117808318608345,2.569085457761103,29.968981034004173,30.508994184705426,12.899477324970528,63.18228345788797,14.86557352812208,10.606407795284781,67.9749203267015,69.93458636845585,37.910009520503934,39.869675562258315,164.82612,43.408471509675955,78.04785698601005,164.82612,1.4900240282688741,6.7117808318608345,2.569085457761103,29.968981034004173,10.606407795284781,13.921517867295897,16.510755786830554,186.72412551016166,181.33687578683055
0.8433974125062851,0.9446051020070395,1.2019353222392082,1.069722436792895,13.528606480085992,13.93446467448857,15.57687571891063,15.109569447343313,1.491336510323831,7.305946707813952,2.699412635311489,30.127086133290923,31.224293548428577,12.73064829955459,54.93783616085677,14.459291067439752,10.990295088356678,61.72884713491708,63.52366757944418,35.699998367527726,37.494818812054824,159.68462999999997,43.954941847983164,69.39712722829653,159.68462999999997,1.491336510323831,7.305946707813952,2.699412635311489,30.127086133290923,10.990295088356678,14.372003892592277,16.77881104114984,180.33815004396885,176.46344104114982
1.1326302057961013,1.2685458304916337,1.0167030067987533,0.9048656760508904,15.053475805983997,15.505080080163516,14.608893964436218,14.170627145503133,1.7157978613613947,10.67012586858486,3.021280754653856,30.3851828937492,31.431093934007603,12.90547800711969,47.56338406024137,10.952055752791068,16.055563114710605,59.561829352999055,61.27787388103879,33.581778830427716,35.29782335846745,161.49917,44.33657194112729,58.515439813032444,161.49917,1.7157978613613947,10.67012586858486,3.021280754653856,30.3851828937492,16.055563114710605,16.1861060117801,15.625596971234971,180.88606825899973,177.12476697123498
