lon,lat,cap_sp
129.25,28.25,0.0
129.25,34.5,0.0
129.25,34.75,228.45326164459553
129.75,33.25,34.44997956267813
130.0,32.5,87.81655549905358
130.0,33.25,0.0
130.0,33.5,38.24696781215749
130.25,31.5,88.74518141717881
130.25,31.75,64.23102357464509
130.25,32.0,44.66814700047127
130.25,32.25,30.787483985515244
130.25,33.5,0.0
130.5,30.5,0.0
130.5,32.0,0.0
130.5,32.25,0.0
130.5,32.5,0.0
130.5,33.0,0.0
130.5,33.25,0.0
130.5,33.5,0.0
130.5,33.75,11.36195475718525
130.5,34.0,124.49885658300695
130.75,30.5,0.0
130.75,31.25,0.0
130.75,31.5,0.0
130.75,31.75,0.0
130.75,32.0,0.0
130.75,32.25,0.0
130.75,32.5,0.0
130.75,32.75,0.0
130.75,33.0,0.0
130.75,33.25,0.0
130.75,33.5,0.0
130.75,33.75,0.0
130.75,34.0,95.90107692245984
131.0,31.75,0.0
131.0,32.0,0.0
131.0,32.25,0.0
131.0,32.5,0.0
131.0,32.75,0.0
131.0,33.0,0.0
131.0,33.25,0.0
131.0,33.5,0.0
131.0,34.25,138.75956890384126
131.0,34.5,201.48351549640262
131.25,31.75,0.0
131.25,32.0,0.0
131.25,32.25,0.0
131.25,32.5,0.0
131.25,32.75,0.0
131.25,33.0,0.0
131.25,33.25,0.0
131.25,33.5,0.0
131.25,34.25,38.31616717574814
131.25,34.5,0.0
131.5,32.5,0.0
131.5,32.75,0.0
131.5,33.0,0.0
131.5,33.25,0.0
131.5,33.5,0.0
131.5,33.75,0.0
131.5,34.25,0.0
131.5,34.5,46.51574705316033
131.5,34.75,0.0
131.75,33.0,0.0
131.75,34.25,0.0
131.75,34.5,0.0
131.75,34.75,101.56665072873545
132.0,33.5,125.18927408674651
132.0,34.0,0.0
132.0,34.25,0.0
132.0,34.5,0.0
132.0,34.75,26.299418030607203
132.0,35.0,129.0570919995184
132.25,34.5,0.0
132.25,34.75,0.0
132.25,35.0,50.51818772066407
132.5,33.25,31.97142494874821
132.5,33.5,0.0
132.5,33.75,0.0
132.5,34.5,0.0
132.5,34.75,0.0
132.5,35.0,3.505654223269375
132.5,35.25,99.34134845858179
132.75,33.0,50.92378483778527
132.75,33.25,0.0
132.75,33.5,0.0
132.75,33.75,0.0
132.75,34.0,0.0
132.75,34.5,0.0
132.75,34.75,0.0
132.75,35.0,0.0
132.75,35.25,44.15404507200778
132.75,35.5,179.41867774678533
133.0,33.25,0.0
133.0,33.5,0.0
133.0,33.75,0.0
133.0,34.0,0.0
133.0,34.75,0.0
133.0,35.0,0.0
133.0,35.25,17.310494097927727
133.0,35.5,153.98524117714473
133.25,33.75,0.0
133.25,34.0,0.0
133.25,34.75,0.0
133.25,35.0,0.0
133.25,35.25,0.0
133.25,35.5,129.74901479733697
133.5,33.75,0.0
133.5,34.0,0.0
133.5,34.75,0.0
133.5,35.0,0.0
133.5,35.25,0.0
133.5,35.5,106.09884887533566
133.75,33.75,0.0
133.75,34.0,0.0
133.75,34.25,0.0
133.75,34.75,0.0
133.75,35.0,0.0
133.75,35.25,0.0
133.75,35.5,87.06813633247535
134.0,33.5,0.0
134.0,33.75,0.0
134.0,34.0,0.0
134.0,34.25,0.0
134.0,34.5,0.0
134.0,34.75,0.0
134.0,35.0,0.0
134.0,35.25,0.0
134.0,35.5,64.89675843588061
134.25,34.0,0.0
134.25,34.25,0.0
134.25,35.0,0.0
134.25,35.25,0.0
134.25,35.5,0.0
134.5,34.0,0.0
134.5,35.0,0.0
134.5,35.25,0.0
134.5,35.5,0.0
134.5,35.75,0.0
134.75,34.5,128.43005225005288
134.75,35.0,0.0
134.75,35.25,0.0
134.75,35.5,0.0
134.75,35.75,0.0
135.0,35.0,0.0
135.0,35.25,0.0
135.0,35.5,0.0
135.0,35.75,103.87121917829298
135.25,34.0,77.31013159751231
135.25,34.25,14.232320573308742
135.25,34.5,0.0
135.25,35.0,0.0
