lon,lat,cap_sp
142.0,45.0,0.0
142.5,45.0,0.0
142.25,45.0,0.0
141.75,45.0,0.0
142.0,45.25,0.0
141.75,45.25,0.0
141.5,45.25,0.0
142.25,45.25,0.0
141.75,45.5,0.0
141.75,43.5,5.147103368505126
141.5,43.5,0.0
142.75,43.5,0.0
142.5,43.5,0.0
142.75,43.75,0.0
142.5,43.75,0.0
142.25,43.75,1.665818887969968
141.75,43.75,4.29398952317782
142.0,43.75,2.295286375857347
141.25,43.75,0.0
141.5,43.75,0.0
142.25,44.0,1.4433628270545424
142.75,44.0,0.0
142.5,44.0,0.0
141.75,44.0,0.0
142.0,44.0,0.0
141.5,44.0,0.0
142.25,44.25,2.1265641340096293
142.75,44.25,0.0
142.5,44.25,0.0
142.0,44.25,0.0
141.75,44.25,0.0
142.75,44.5,0.0
142.0,44.5,0.0
141.75,44.5,0.0
142.25,44.5,3.2055478627801444
142.5,44.5,0.0
142.75,44.75,0.0
142.5,44.75,0.0
141.75,44.75,0.0
142.25,44.75,0.0
142.0,44.75,0.0
144.5,43.5,0.0
145.0,43.5,0.0
143.0,43.5,0.0
144.75,43.5,0.0
143.25,43.5,0.0
143.5,43.5,0.0
144.25,43.5,0.0
144.0,43.75,0.0
143.25,43.75,0.0
143.75,43.75,0.0
144.75,43.75,0.0
144.5,43.75,0.0
145.0,43.75,0.0
143.5,43.75,0.0
143.0,43.75,0.0
144.25,43.75,0.0
144.5,44.0,0.0
144.0,44.0,9.002465395718376
144.75,44.0,0.0
143.0,44.0,0.0
143.75,44.0,7.465244828128564
143.25,44.0,0.0
143.5,44.0,0.0
144.25,44.0,0.0
143.0,44.25,0.0
143.25,44.25,0.0
143.5,44.25,9.172254874735279
145.0,44.25,0.0
143.0,44.5,0.0
140.75,42.0,7.4933146785047215
140.5,42.0,6.091890814266819
140.0,42.25,0.0
140.25,42.25,0.0
142.75,42.5,0.0
142.25,42.5,0.0
140.0,42.5,0.0
142.5,42.5,0.0
140.0,42.75,0.0
140.75,42.75,0.0
141.25,42.75,0.0
140.25,42.75,0.0
140.5,42.75,0.0
141.0,42.75,0.0
141.75,42.75,6.482231361190318
142.75,42.75,0.0
142.25,42.75,0.0
142.0,42.75,0.0
140.75,43.0,0.0
140.5,43.0,0.0
140.25,43.0,0.0
141.75,43.0,0.0
141.0,43.0,0.0
142.0,43.0,0.0
141.5,43.0,7.043346966157286
142.25,43.0,0.0
142.75,43.0,0.0
142.5,43.0,0.0
141.25,43.0,8.065765773937422
140.75,43.25,8.196301974788033
141.25,43.25,7.005001038292088
142.75,43.25,4.24852122424745
142.5,43.25,0.0
141.75,43.25,5.472373599618047
141.0,43.25,7.864557948869487
141.5,43.25,6.549144277063468
142.0,43.25,0.0
140.5,43.25,0.0
142.25,43.25,0.0
142.0,43.5,0.0
142.25,43.5,2.785613928974743
139.75,42.5,0.0
139.75,42.75,0.0
143.0,42.25,0.0
143.0,42.5,0.0
143.0,42.75,0.0
143.25,42.75,0.0
143.25,43.0,3.122207171844192
143.75,43.0,0.0
143.5,43.0,0.0
143.0,43.0,3.595197736061827
144.0,43.25,0.0
143.0,43.25,3.6847807012269698
144.5,43.25,0.0
143.75,43.25,0.0
144.75,43.25,0.0
143.5,43.25,0.0
144.25,43.25,3.415353666637539
143.25,43.25,0.0
144.0,43.5,0.0
143.75,43.5,0.0
141.0,40.5,0.0
140.75,40.75,0.0
140.0,40.75,0.0
141.25,40.75,9.741859766633496
140.25,40.75,8.17136755824423
140.5,40.75,7.938594154411639
141.0,40.75,9.097071203363877
140.25,41.0,8.030865433949296
141.25,41.0,10.78511471997289
140.5,41.0,7.80799630683295
140.75,41.0,8.506081489600128
140.5,41.25,0.0
140.25,41.25,0.0
141.25,41.25,0.0
140.75,41.5,0.0
141.0,41.5,11.177673212759458
140.0,41.75,0.0
140.25,41.75,0.0
140.25,42.0,0.0
140.5,39.0,0.0
141.0,39.0,0.0
140.0,39.25,0.0
141.5,39.25,5.17216880773326
140.75,39.25,0.0
140.5,39.25,0.4093213029070389
141.25,39.25,0.0
140.25,39.25,1.934020089001595
141.0,39.25,0.0
140.25,39.5,3.825500641582038
140.75,39.5,0.0
140.5,39.5,1.9961948784761891
141.5,39.5,0.0
141.75,39.5,6.624157773129428
141.25,39.5,0.0
140.0,39.5,6.835539789572663
141.0,39.5,0.0
140.25,39.75,0.0
140.75,39.75,0.0
141.75,39.75,6.239931951752248
140.0,39.75,8.147833010609743
141.25,39.75,0.0
140.5,39.75,4.314020628412976
141.5,39.75,0.0
141.0,39.75,2.448436243052605
140.0,40.0,6.905462482023968
140.75,40.0,0.0
141.25,40.0,0.0
140.5,40.0,0.0
140.25,40.0,0.0
141.5,40.0,0.0
141.75,40.0,0.0
141.0,40.0,4.383831131444524
140.5,40.25,0.0
140.0,40.25,6.404687055829197
141.25,40.25,6.57392337025744
141.5,40.25,0.0
140.75,40.25,6.014464364218809
140.25,40.25,5.580844462227826
141.0,40.25,0.0
140.25,40.5,0.0
140.5,40.5,7.219440140741993
140.75,40.5,0.0
141.5,40.5,8.929599944653784
140.0,40.5,0.0
141.25,40.5,8.591129554103665
140.5,37.75,0.0
140.0,37.75,0.0
140.75,37.75,0.5296274744798916
140.25,37.75,0.0
140.75,38.0,0.2182488906922924
140.25,38.0,0.0
140.5,38.0,0.0
140.0,38.0,0.0
140.0,38.25,0.0
140.75,38.25,0.0
140.25,38.25,0.0
140.5,38.25,0.0
140.25,38.5,0.0
140.0,38.5,0.0
140.75,38.5,0.0
140.5,38.5,0.0
140.25,38.75,0.0
140.0,38.75,0.0
141.25,38.75,3.168592725507274
140.75,38.75,0.0
140.5,38.75,0.0
141.0,38.75,0.0
141.25,39.0,2.404530649874393
140.0,39.0,0.0
140.25,39.0,0.0
140.75,39.0,0.0
139.5,37.75,0.0
139.25,37.75,0.0
138.75,37.75,3.513347731714944
139.0,37.75,1.0878228948956619
139.75,37.75,0.0
139.0,38.0,3.2418417600595317
139.25,38.0,1.4451626458613194
139.5,38.0,0.0
138.25,38.0,0.0
139.75,38.0,0.0
138.25,38.25,7.433859889177475
139.75,38.25,0.0
139.5,38.25,0.0
139.5,38.5,0.0
139.75,38.5,0.0
139.75,38.75,1.889516060971772
139.5,38.75,0.0
139.75,39.0,3.62298995271534
137.75,36.25,8.365870680360928
138.75,36.25,6.118929684481879
138.0,36.25,5.435330067952846
137.0,36.25,1.4514889543209157
138.5,36.25,0.0
139.0,36.25,1.4151289032508358
139.75,36.25,0.0
139.5,36.25,0.0
137.25,36.25,1.3257453846010703
137.5,36.25,0.0
137.25,36.5,0.0
139.25,36.5,0.8220791297947995
138.25,36.5,3.3941734084004644
139.75,36.5,0.0
138.75,36.5,5.245226632066228
138.0,36.5,3.152274801344954
139.0,36.5,2.3057390246698293
137.75,36.5,7.124672843809768
138.5,36.5,4.202361174153073
137.0,36.5,0.0
139.5,36.5,0.0
137.5,36.5,0.0
139.75,36.75,0.0
139.5,36.75,1.5666670017489719
138.5,36.75,4.739919266916004
138.0,36.75,1.7588699137957875
137.75,36.75,3.1892488997755715
138.75,36.75,6.08842380765182
137.25,36.75,0.2208373258923389
139.25,36.75,0.0
139.0,36.75,3.6979027445683683
137.0,36.75,0.46363555139943907
138.25,36.75,0.7912780801395198
137.5,36.75,0.0
138.75,37.0,0.0
139.75,37.0,1.9290113630034362
137.75,37.0,0.0
137.5,37.0,0.0
139.5,37.0,0.0
138.0,37.0,0.0
139.0,37.0,0.0
139.25,37.0,0.0
138.25,37.0,0.5447209481536401
138.5,37.0,0.0
139.5,37.25,0.0
139.0,37.25,0.0
138.75,37.25,1.9536762241783194
138.5,37.25,3.0238942229074426
139.25,37.25,0.0
139.75,37.25,0.0
138.25,37.25,3.9039875229852288
138.0,37.25,4.1250452699488
137.0,37.5,5.974616734145924
138.75,37.5,1.6394493743313883
139.75,37.5,0.0
139.25,37.5,0.0
139.0,37.5,0.0
138.5,37.5,4.7193745279898005
139.5,37.5,0.0
140.0,36.25,0.0
140.25,36.25,1.910491475767491
140.25,36.5,1.5856730327262827
140.0,36.5,0.0
140.0,36.75,0.0
140.5,36.75,3.6341380794940883
140.25,36.75,0.8785608061690487
140.25,37.0,1.1844324192410285
140.0,37.0,0.0
140.5,37.0,3.0568860160700355
140.5,37.25,0.0
140.75,37.25,3.586099157372952
140.0,37.25,0.2239745449681981
140.25,37.25,1.3139920274372172
140.5,37.5,1.0359653858561186
140.25,37.5,0.3416054934507963
140.75,37.5,0.0
140.0,37.5,0.0
136.0,36.25,5.82998226930745
136.75,36.25,0.0
136.5,36.25,0.0
136.25,36.25,3.0991872658766058
136.5,36.5,2.4028590442056057
136.75,36.5,0.0
136.5,36.75,3.8397414603022995
136.75,36.75,1.5934933473228445
136.75,37.0,4.261760892341269
136.75,37.5,0.0
140.0,35.25,0.0
140.0,35.5,0.9414788917815385
140.25,35.5,2.926706989390982
140.0,35.75,0.34755025172770493
140.25,35.75,2.750056172801721
140.25,36.0,2.109053520768055
140.5,36.0,5.537227832156574
140.0,36.0,0.0
129.25,34.75,0.0
138.75,34.75,10.24169282737118
137.0,34.75,9.746010492817145
137.25,35.0,5.317026908395293
137.75,35.0,6.566529740245389
137.5,35.0,7.100990714932818
138.75,35.0,5.988099573301027
137.0,35.0,6.56844861333334
138.0,35.0,7.094969052730084
138.75,35.25,3.2534743842409783
137.0,35.25,3.007749427226656
137.25,35.25,0.0
138.25,35.25,6.314355667726081
139.75,35.25,1.7617213179836995
138.5,35.25,5.034238804713209
138.0,35.25,0.0
137.5,35.25,3.5016269420059887
137.75,35.25,0.0
138.0,35.5,0.0
137.5,35.5,0.0
139.25,35.5,0.0
139.5,35.5,0.0
139.0,35.5,0.0
137.75,35.5,3.5976047020962065
138.5,35.5,4.667770344941313
138.25,35.5,0.0
137.0,35.5,0.2361729161045161
138.75,35.5,2.516843156856828
137.25,35.5,1.4746033015422124
137.5,35.75,0.0
139.5,35.75,0.0
138.5,35.75,6.906647271863783
137.75,35.75,4.293633994264947
138.25,35.75,8.658706746714582
138.0,35.75,0.0
137.0,35.75,0.0
139.25,35.75,0.0
138.75,35.75,3.911766761052525
139.0,35.75,0.34212053055868263
137.25,35.75,0.8224367928180667
139.5,36.0,0.0
139.75,36.0,0.0
138.0,36.0,6.32860867485526
139.0,36.0,0.9119939072745327
137.25,36.0,0.8523287621592955
139.25,36.0,0.0
137.0,36.0,0.6970183394881244
137.75,36.0,6.096741941226412
138.25,36.0,10.26480991042992
138.75,36.0,0.0
138.5,36.0,0.0
137.5,36.0,3.1370723279863943
139.25,36.25,0.0
138.25,36.25,6.250163921062094
132.75,34.75,0.0
132.0,34.75,0.0
132.25,34.75,0.0
134.0,34.75,5.6870996514162915
133.0,34.75,0.0
133.75,34.75,3.0257288385314647
131.75,34.75,3.571800446005057
133.25,35.0,0.8774159193348428
132.75,35.0,0.43102955824651995
133.75,35.0,0.0
133.0,35.0,0.0
132.5,35.0,0.0
134.0,35.0,3.0903119727816244
132.25,35.0,1.0323406152195094
133.5,35.0,0.0
132.0,35.0,2.671946141011735
133.5,35.25,0.0
132.5,35.25,0.0
133.0,35.25,0.0
132.75,35.25,0.0
133.25,35.25,0.0
134.0,35.25,0.5365470821462259
133.75,35.25,0.41904882268419275
134.0,35.5,0.0
133.5,35.5,0.0
132.75,35.5,4.706431089891631
133.0,35.5,3.017452694236938
133.25,35.5,1.5939952760640705
133.75,35.5,0.0
134.75,34.5,7.584451038866035
136.5,34.5,7.09120189933584
136.25,34.5,4.200641569410178
136.75,34.5,9.325934372574228
135.5,34.5,2.657549812752934
135.75,34.5,1.9686213490608053
136.0,34.5,0.0
135.75,34.75,1.3915594750796565
135.5,34.75,1.7681135856153305
136.25,34.75,4.362486955766675
136.0,34.75,1.7178882236796913
136.75,35.0,5.568354567915471
136.0,35.0,0.3693283029196372
135.0,35.0,2.384820285714212
134.5,35.0,4.589710265228327
136.25,35.0,2.787945538424612
134.75,35.0,3.759276484173289
135.75,35.0,0.27146088083095515
135.25,35.0,1.333017561559233
134.25,35.0,4.501534327478822
135.5,35.0,0.6716866238433782
136.5,35.0,4.426079015748181
134.5,35.25,0.08385172637981708
136.25,35.25,0.29658666553244345
134.75,35.25,0.0
134.25,35.25,0.0
135.5,35.25,0.0
136.5,35.25,1.673915934048832
135.0,35.25,0.0
136.0,35.25,0.0
136.75,35.25,2.535911825308211
135.25,35.25,0.0
135.75,35.25,0.0
136.25,35.5,0.3269806933775328
134.5,35.5,0.0
136.5,35.5,0.22221934107916158
134.75,35.5,0.0
134.25,35.5,0.0
135.0,35.5,0.0
136.75,35.5,0.2799926542267807
135.5,35.5,0.0
135.25,35.5,0.0
135.75,35.5,0.0
136.0,35.5,0.0
136.0,35.75,1.48316914369345
136.75,35.75,0.20267531427726468
134.75,35.75,0.31934740338494894
136.5,35.75,0.0
136.25,35.75,0.0
134.5,35.75,0.0
135.0,35.75,0.6361383332316184
136.0,36.0,3.956488868832266
136.5,36.0,0.0
136.75,36.0,1.0027679297453662
136.25,36.0,2.339053726673382
130.0,33.25,0.5113387027007857
130.5,33.25,0.0
130.25,33.5,1.1142764969279624
130.5,33.5,0.0
130.0,33.5,2.894842610503257
131.0,33.5,0.0
130.75,33.5,0.0
130.75,33.75,1.5706655838243895
130.5,33.75,2.79086851569878
130.75,34.0,5.190053314109669
130.5,34.0,6.838976541817054
131.0,34.25,7.07156382830661
131.0,34.5,0.0
129.25,34.5,0.0
132.75,33.25,0.0
133.0,33.25,2.6705284185803455
131.25,33.25,0.0
131.5,33.25,0.25038743357546484
133.0,33.5,0.0
132.75,33.5,0.0
131.25,33.5,0.0
132.0,33.5,0.0
131.5,33.5,0.8791458358535038
134.0,33.5,0.0
132.5,33.5,3.0483411944948586
133.75,33.75,0.0
132.75,33.75,0.0
133.5,33.75,4.747495438847001
134.0,33.75,0.0
133.0,33.75,0.0
133.25,33.75,5.376493001873242
132.5,33.75,5.521331834272556
131.5,33.75,2.348707786580038
132.75,34.0,6.93470201108437
133.75,34.0,0.0
134.0,34.0,0.0
133.0,34.0,6.243507352347463
133.25,34.0,4.443161690110787
133.5,34.0,3.4509258450432148
132.0,34.0,4.795647810408508
131.25,34.25,4.360661549690339
133.75,34.25,1.6729428582839732
131.75,34.25,3.7236514426883778
132.0,34.25,3.299787590537551
134.0,34.25,2.842901590119503
131.5,34.25,3.73403894056808
132.75,34.5,2.643188890997876
132.5,34.5,2.2154110091112944
131.25,34.5,6.070254018523596
132.25,34.5,1.6634098678056686
